datum,niveau,schepcorner_id,ploegnaam,ervaring_schepper,ervaring_kopper,ervaring_duo,is_thuisploeg,kwart,is_schepper_bank,is_kopper_bank,schepper_pos_rechts,positie,kop_verplaatsen_achter,kop_veel_verplaatsen,kop_hor_verplaatsen,goal,klassement_thuis,klassement_uit,uitslag_thuis,uitslag_uit,score_voor_thuis,score_voor_uit,klassement,klassement_veschil,is_degradatieplaats,is_promotieplaats,score_verschil_voor,periode,schepcorner_nummer,goal_lag_ploeg,goal_lag_wedstrijd
2024-09-27,nationaal,583,ardooie,5.0,5.0,5.0,0,2,0,0,1,5,0,0,1,1,12,8,6,8,2,1,8.0,4,0,0,1,1,2,0.6616915422885572,1.0
2024-09-27,nationaal,584,ardooie,5.0,5.0,5.0,0,3,0,0,1,5,1,0,1,0,12,8,6,8,3,5,8.0,4,0,0,2,1,3,1.0,1.0
2024-10-18,nationaal,585,drongen,5.0,5.0,5.0,0,1,0,0,1,2,0,0,0,1,8,6,4,6,0,0,6.0,2,0,0,0,2,1,1.0,0.6616915422885572
2024-10-18,nationaal,586,the oliver boys,5.0,5.0,5.0,1,3,0,0,1,5,0,0,0,1,8,6,4,6,1,2,8.0,2,0,0,1,2,2,1.0,1.0
2024-10-18,nationaal,587,drongen,5.0,5.0,5.0,0,4,0,0,1,2,0,0,0,1,8,6,4,6,3,2,6.0,2,0,0,1,2,3,1.0,1.0
2024-10-18,nationaal,588,the oliver boys,5.0,5.0,5.0,1,4,0,0,1,5,0,0,0,1,8,6,4,6,3,6,8.0,2,0,0,3,2,4,1.0,1.0
2024-10-25,nationaal,589,sint gillis waas,5.0,5.0,5.0,0,2,0,0,1,2,0,0,1,0,5,11,7,0,0,0,11.0,6,1,0,0,2,1,1.0,0.6616915422885572
2024-10-25,nationaal,590,kortemark,5.0,5.0,5.0,1,2,0,0,1,2,0,0,0,1,5,11,7,0,0,0,5.0,6,0,0,0,2,2,1.0,0.0
2024-10-25,nationaal,591,kortemark,5.0,5.0,5.0,1,4,0,0,1,2,0,0,0,1,5,11,7,0,5,0,5.0,6,0,0,5,2,3,1.0,1.0
2024-11-22,nationaal,592,drongen,5.0,5.0,5.0,1,1,0,0,1,2,0,0,0,1,6,5,6,5,1,0,6.0,1,0,0,1,2,1,1.0,0.6616915422885572
