niveau,ervaring_schepper,ervaring_kopper,ervaring_duo,is_thuisploeg,kwart,is_schepper_bank,is_kopper_bank,schepper_pos_rechts,kop_verplaatsen_achter,kop_veel_verplaatsen,kop_hor_verplaatsen,goal,score_verschil_voor,score_eigen,score_tegenstander,wedstrijd_corner_nr,ploeg_wedstrijd_corner_nr,positie_verticaal_voor,positie_horizontaal,ploeg_scoreperc,goal_lag_ploeg,goal_lag_wedstrijd,klassement,klassement_veschil,is_degradatieplaats,is_promotieplaats
3,4.0,4.0,5.0,0,4,0,0,1,0,0,0,1,0,6,6,3,1,1,midden,1.0,1.0,0.0,7.5,5,0,0
3,4.0,5.0,5.0,1,2,0,0,1,0,0,0,1,0,1,1,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0
3,5.0,5.0,5.0,0,2,0,0,0,0,0,0,1,1,3,2,2,1,0,midden,0.6249575688123175,0.6085526315789473,1.0,7.5,5,0,0
3,4.0,5.0,5.0,1,3,0,0,1,0,0,0,1,1,6,5,3,2,0,midden,1.0,1.0,1.0,7.5,5,0,0
2,5.0,5.0,5.0,1,2,0,0,1,0,0,0,1,3,1,4,1,1,0,midden,1.0,1.0,0.6972477064220184,7.5,5,0,0
3,4.0,5.0,4.0,1,3,1,0,1,0,1,1,0,3,4,1,1,1,0,midden,1.0,1.0,0.6085526315789473,8.0,5,0,0
3,1.6666666666666667,4.0,1.3333333333333333,0,3,1,0,1,0,0,0,0,3,2,5,2,1,0,midden,0.6249575688123175,0.6085526315789473,0.0,3.0,5,0,1
3,1.6666666666666667,4.0,1.3333333333333333,0,4,0,0,1,0,0,0,0,9,2,11,3,2,0,midden,0.0,0.0,0.0,3.0,5,0,1
3,3.0,3.0,3.0,1,2,0,0,1,1,1,1,0,1,2,3,1,1,1,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,3.0,7,0,1
3,3.1538461538461537,3.6153846153846154,3.3076923076923075,0,2,0,0,1,0,1,1,1,1,3,2,2,1,1,midden,0.0,0.0,0.0,10.0,7,0,0
3,3.0,3.0,3.0,1,3,0,0,1,0,0,0,1,1,3,4,3,2,1,midden,0.0,0.0,1.0,3.0,7,0,1
3,3.1538461538461537,3.6153846153846154,3.3076923076923075,0,4,1,0,1,0,0,0,1,1,5,4,4,2,1,midden,0.5,1.0,1.0,10.0,7,0,0
3,3.0,3.0,3.0,1,3,0,1,1,0,1,1,0,1,4,3,1,1,0,rechts,0.6249575688123175,0.6085526315789473,0.6085526315789473,4.0,5,0,0
3,4.0,4.0,4.0,0,3,1,0,1,0,0,0,0,1,2,3,1,1,1,rechts,0.0,0.0,0.6085526315789473,7.5,5,0,0
3,4.0,4.0,4.0,1,4,0,0,1,0,0,0,1,2,4,2,2,1,1,midden,0.6249575688123175,0.6085526315789473,0.0,7.5,5,0,0
2,4.0,3.0,3.0,0,3,0,0,1,0,1,1,1,1,4,3,1,1,0,links,0.5,1.0,0.6972477064220184,6.0,1,0,0
3,4.0,4.0,4.0,1,1,0,0,0,0,0,0,1,2,2,0,1,1,0,rechts,1.0,1.0,0.6085526315789473,7.5,5,0,0
3,3.0,5.0,3.0,0,2,0,0,1,0,1,1,0,3,0,3,2,1,0,midden,0.6249575688123175,0.6085526315789473,1.0,7.5,5,0,0
3,3.0,5.0,3.0,0,4,0,0,1,0,1,1,0,3,1,4,3,2,0,midden,0.0,0.0,0.0,7.5,5,0,0
3,4.0,4.0,4.0,1,4,0,0,0,0,0,0,1,2,4,2,4,2,0,rechts,1.0,1.0,0.0,7.5,5,0,0
3,3.3333333333333335,2.0,2.0,1,2,0,0,1,0,1,1,0,3,3,0,1,1,1,midden,1.0,1.0,0.6085526315789473,1.0,6,0,1
